GeneID,Gene.name,Gene.type,M20,View,Hub,Cell type,Neurotransmitter
ENSMFAG00000000036,SLC5A5,protein_coding,magenta,M1,,,
ENSMFAG00000000048,MGAM,protein_coding,turquoise,M1,,,
ENSMFAG00000010073,ATP2B4,protein_coding,turquoise,M1,M1,OPC,
ENSMFAG00000033409,DPYD,protein_coding,turquoise,M1,M1,"ExcN,Oligo",
ENSMFAG00000000472,MORN4,protein_coding,turquoise,M1,,,
ENSMFAG00000000538,USP22,protein_coding,turquoise,M1,,,
ENSMFAG00000000599,MAPRE2,protein_coding,turquoise,M1,,Oligo,
ENSMFAG00000034044,SLC16A2,protein_coding,turquoise,M1,M1,,
ENSMFAG00000000631,CYP4X1,protein_coding,turquoise,M1,,,
ENSMFAG00000000670,PRKAG2,protein_coding,turquoise,M1,,"ExcN,Micro",
ENSMFAG00000000697,PTH2R,protein_coding,turquoise,M1,,,
ENSMFAG00000000721,SLIT3,protein_coding,turquoise,M1,,ExcN,
ENSMFAG00000000835,SVIL,protein_coding,magenta,M1,,,
ENSMFAG00000000877,CRYM,protein_coding,turquoise,M1,,,
ENSMFAG00000000951,SLC13A4,protein_coding,magenta,M1,,,
ENSMFAG00000000970,MMD,protein_coding,turquoise,M1,,,
ENSMFAG00000034070,EFNB3,protein_coding,turquoise,M1,M1,,
ENSMFAG00000040747,LOC102139876,protein_coding,turquoise,M1,M1,,
ENSMFAG00000001377,SIN3B,protein_coding,turquoise,M1,,,
ENSMFAG00000001442,MAFG,protein_coding,turquoise,M1,,,
ENSMFAG00000001587,NOL9,protein_coding,turquoise,M1,,,
ENSMFAG00000001640,SLC6A20,protein_coding,magenta,M1,,,
ENSMFAG00000001774,SCN3B,protein_coding,turquoise,M1,,ExcN,
ENSMFAG00000001912,BAIAP3,protein_coding,turquoise,M1,,,
ENSMFAG00000002075,ALX4,protein_coding,magenta,M1,,,
ENSMFAG00000002181,TRPC6,protein_coding,turquoise,M1,,,
ENSMFAG00000002271,KBTBD6,protein_coding,turquoise,M1,,,
ENSMFAG00000002365,PLPPR3,protein_coding,turquoise,M1,,,
ENSMFAG00000002430,DOC2B,protein_coding,turquoise,M1,,,
ENSMFAG00000002537,PRDM6,protein_coding,magenta,M1,,,
ENSMFAG00000002639,GRM6,protein_coding,turquoise,M1,,,Glutamate
ENSMFAG00000002708,DOK4,protein_coding,turquoise,M1,,,
ENSMFAG00000002755,SLC16A12,protein_coding,magenta,M1,,,
ENSMFAG00000002874,TMIE,protein_coding,turquoise,M1,,,
ENSMFAG00000002897,MXRA8,protein_coding,magenta,M1,,,
ENSMFAG00000002910,ICAM5,protein_coding,turquoise,M1,,,
ENSMFAG00000002920,RNF32,protein_coding,turquoise,M1,,,
ENSMFAG00000003142,TMEM94,protein_coding,turquoise,M1,,,
ENSMFAG00000003175,NKAIN4,protein_coding,turquoise,M1,,OPC,
ENSMFAG00000003226,LHFPL1,protein_coding,turquoise,M1,,,
ENSMFAG00000003229,TPGS2,protein_coding,turquoise,M1,,,
ENSMFAG00000003261,C7,protein_coding,magenta,M1,,,
ENSMFAG00000003356,CPXM1,protein_coding,magenta,M1,,,
ENSMFAG00000003384,ENSMFAG00000003384,protein_coding,turquoise,M1,,Oligo,
ENSMFAG00000003681,AZU1,protein_coding,turquoise,M1,,,
ENSMFAG00000003702,COL3A1,protein_coding,magenta,M1,,,
ENSMFAG00000003772,TUBB,protein_coding,turquoise,M1,,,
ENSMFAG00000003811,PTGDS,protein_coding,magenta,M1,,"Oligo,AST",
ENSMFAG00000043246,RTP2,protein_coding,turquoise,M1,M1,,
ENSMFAG00000003847,SLC1A4,protein_coding,turquoise,M1,,,Glutamate
ENSMFAG00000003878,TCP11,protein_coding,turquoise,M1,,,
ENSMFAG00000004008,COMP,protein_coding,magenta,M1,,,
ENSMFAG00000004743,DACH2,protein_coding,turquoise,M1,,,
ENSMFAG00000004902,IL34,protein_coding,turquoise,M1,,,
ENSMFAG00000006014,PNMA8A,protein_coding,turquoise,M1,,,
ENSMFAG00000045840,RIPOR2,protein_coding,turquoise,M1,M1,"IhnN,AST",
ENSMFAG00000008670,ENSMFAG00000008670,protein_coding,turquoise,M1,,,
ENSMFAG00000009385,SSTR1,protein_coding,turquoise,M1,,,
ENSMFAG00000010325,LINGO1,protein_coding,turquoise,M1,,,
ENSMFAG00000012354,GJD3,protein_coding,turquoise,M1,,,
ENSMFAG00000012540,FOXL1,protein_coding,magenta,M1,,,
ENSMFAG00000012586,ACKR2,protein_coding,magenta,M1,,,
ENSMFAG00000013561,GJB2,protein_coding,magenta,M1,,,
ENSMFAG00000014609,FEZ2,protein_coding,turquoise,M1,,,
ENSMFAG00000016595,RASAL1,protein_coding,turquoise,M1,,,
ENSMFAG00000018901,ENSMFAG00000018901,protein_coding,turquoise,M1,,,
ENSMFAG00000019863,RNF130,protein_coding,turquoise,M1,,Oligo,
ENSMFAG00000021230,PCDHB1,protein_coding,turquoise,M1,,,
ENSMFAG00000022397,FER1L6,protein_coding,turquoise,M1,,,
ENSMFAG00000022580,ENSMFAG00000022580,protein_coding,turquoise,M1,,,
ENSMFAG00000024130,DCAF12L2,protein_coding,turquoise,M1,,,
ENSMFAG00000024245,DMGDH,protein_coding,turquoise,M1,,,
ENSMFAG00000024673,NUMBL,protein_coding,turquoise,M1,,,
ENSMFAG00000024837,TNFAIP8L1,protein_coding,turquoise,M1,,,
ENSMFAG00000025314,IDNK,protein_coding,turquoise,M1,,,
ENSMFAG00000026860,ELFN2,protein_coding,turquoise,M1,,,
ENSMFAG00000027141,SEMA4F,protein_coding,turquoise,M1,,,
ENSMFAG00000027759,ENSMFAG00000027759,protein_coding,turquoise,M1,,,
ENSMFAG00000028402,LRRC10B,protein_coding,turquoise,M1,,,
ENSMFAG00000028692,RXFP3,protein_coding,turquoise,M1,,,
ENSMFAG00000029053,SH2B3,protein_coding,turquoise,M1,,,
ENSMFAG00000029268,NISCH,protein_coding,turquoise,M1,,,
ENSMFAG00000030157,ZCCHC12,protein_coding,turquoise,M1,,,
ENSMFAG00000030290,C1QL3,protein_coding,turquoise,M1,,,
ENSMFAG00000030340,ENSMFAG00000030340,protein_coding,turquoise,M1,,,
ENSMFAG00000030409,SLC22A8,protein_coding,magenta,M1,,,
ENSMFAG00000030438,NTSR1,protein_coding,turquoise,M1,,,dopamine
ENSMFAG00000030653,L1CAM,protein_coding,turquoise,M1,,,
ENSMFAG00000030687,ENSMFAG00000030687,protein_coding,turquoise,M1,,,
ENSMFAG00000030801,ENSMFAG00000030801,protein_coding,turquoise,M1,,,
ENSMFAG00000031004,CYP1B1,protein_coding,magenta,M1,,,
ENSMFAG00000031045,DNAJA4,protein_coding,turquoise,M1,,,
ENSMFAG00000031078,KLHL35,protein_coding,turquoise,M1,,,
ENSMFAG00000031107,SERPIND1,protein_coding,magenta,M1,,,
ENSMFAG00000031143,TMEM159,protein_coding,turquoise,M1,,,
ENSMFAG00000031217,DOC2A,protein_coding,turquoise,M1,,,
ENSMFAG00000031326,PGM2L1,protein_coding,turquoise,M1,,,
ENSMFAG00000031347,SYT17,protein_coding,turquoise,M1,,"AST,OPC",
ENSMFAG00000031360,STYK1,protein_coding,turquoise,M1,,,
ENSMFAG00000031450,ANPEP,protein_coding,magenta,M1,,,
ENSMFAG00000031465,TIMP2,protein_coding,turquoise,M1,,,
ENSMFAG00000031535,TMEFF2,protein_coding,turquoise,M1,,"ExcN,Oligo,IhnN",
ENSMFAG00000031583,PTGDR,protein_coding,magenta,M1,,,
ENSMFAG00000031591,GABRB1,protein_coding,turquoise,M1,,AST,GABA
ENSMFAG00000031651,LARP1,protein_coding,turquoise,M1,,,
ENSMFAG00000031697,PDGFB,protein_coding,turquoise,M1,,,
ENSMFAG00000031849,SLC22A2,protein_coding,magenta,M1,,,Acetylcholine
ENSMFAG00000031894,FOXD2,protein_coding,magenta,M1,,,
ENSMFAG00000031913,DSP,protein_coding,magenta,M1,,,
ENSMFAG00000031992,MATN1,protein_coding,turquoise,M1,,,
ENSMFAG00000032035,THRA,protein_coding,turquoise,M1,,,
ENSMFAG00000032085,FANK1,protein_coding,turquoise,M1,,,
ENSMFAG00000032424,CFAP73,protein_coding,turquoise,M1,,,
ENSMFAG00000032433,YPEL1,protein_coding,turquoise,M1,,,
ENSMFAG00000032547,SMTNL2,protein_coding,magenta,M1,,,
ENSMFAG00000032769,WDR25,protein_coding,turquoise,M1,,,
ENSMFAG00000032820,FOXO6,protein_coding,turquoise,M1,,,
ENSMFAG00000032968,RDM1,protein_coding,turquoise,M1,,,
ENSMFAG00000033142,TERT,protein_coding,turquoise,M1,,,
ENSMFAG00000033151,KCNJ13,protein_coding,magenta,M1,,,
ENSMFAG00000033195,CHST1,protein_coding,turquoise,M1,,,
ENSMFAG00000033432,GDA,protein_coding,turquoise,M1,,,
ENSMFAG00000033624,PEA15,protein_coding,turquoise,M1,,,
ENSMFAG00000033693,CD6,protein_coding,turquoise,M1,,,
ENSMFAG00000033743,PTPRA,protein_coding,turquoise,M1,,,
ENSMFAG00000033966,ESR1,protein_coding,turquoise,M1,,,
ENSMFAG00000033968,HPCAL4,protein_coding,turquoise,M1,,,
ENSMFAG00000033979,ARL10,protein_coding,turquoise,M1,,,
ENSMFAG00000033990,COL1A1,protein_coding,magenta,M1,,,
ENSMFAG00000034043,EFNB2,protein_coding,turquoise,M1,,,
ENSMFAG00000034047,ARHGAP33,protein_coding,turquoise,M1,,,
ENSMFAG00000034069,MEIS3,protein_coding,turquoise,M1,,,
ENSMFAG00000034098,TRIM27,protein_coding,turquoise,M1,,,
ENSMFAG00000034110,GPC4,protein_coding,turquoise,M1,,,
ENSMFAG00000034195,ENSMFAG00000034195,protein_coding,magenta,M1,,,
ENSMFAG00000034196,PKLR,protein_coding,turquoise,M1,,,
ENSMFAG00000034237,VAT1L,protein_coding,turquoise,M1,,,
ENSMFAG00000034433,PDE1A,protein_coding,turquoise,M1,,"ExcN,IhnN",
ENSMFAG00000034464,LRRN4,protein_coding,turquoise,M1,,,
ENSMFAG00000034472,HGF,protein_coding,turquoise,M1,,,
ENSMFAG00000034602,NKAIN2,protein_coding,turquoise,M1,,"ExcN,Oligo",
ENSMFAG00000034622,PLPPR2,protein_coding,turquoise,M1,,,
ENSMFAG00000034644,WNT1,protein_coding,turquoise,M1,,,
ENSMFAG00000035150,USP27X,protein_coding,turquoise,M1,,,
ENSMFAG00000035398,STUM,protein_coding,turquoise,M1,,,
ENSMFAG00000035420,LRRC56,protein_coding,turquoise,M1,,,
ENSMFAG00000035501,SFXN3,protein_coding,turquoise,M1,,,
ENSMFAG00000035509,HACD4,protein_coding,turquoise,M1,,,
ENSMFAG00000035695,PCDH1,protein_coding,turquoise,M1,,,
ENSMFAG00000035744,SUSD1,protein_coding,turquoise,M1,,,
ENSMFAG00000035896,ENSMFAG00000035896,protein_coding,turquoise,M1,,,
ENSMFAG00000035913,MINK1,protein_coding,turquoise,M1,,,
ENSMFAG00000035997,SCUBE3,protein_coding,turquoise,M1,,,
ENSMFAG00000036045,GSPT2,protein_coding,turquoise,M1,,,
ENSMFAG00000036174,TCP11L1,protein_coding,turquoise,M1,,,
ENSMFAG00000036176,LY6H,protein_coding,turquoise,M1,,,
ENSMFAG00000036195,COL8A2,protein_coding,magenta,M1,,,
ENSMFAG00000036236,AMIGO2,protein_coding,turquoise,M1,,,
ENSMFAG00000036450,FAM171A2,protein_coding,turquoise,M1,,,
ENSMFAG00000036656,CRABP2,protein_coding,magenta,M1,,,
ENSMFAG00000037294,WDR6,protein_coding,turquoise,M1,,,
ENSMFAG00000037315,ARHGAP6,protein_coding,turquoise,M1,,IhnN,
ENSMFAG00000037327,ALDH1A2,protein_coding,magenta,M1,,,
ENSMFAG00000037364,VPS39,protein_coding,turquoise,M1,,,
ENSMFAG00000037483,APOB,protein_coding,turquoise,M1,,,
ENSMFAG00000037487,SEMA4A,protein_coding,turquoise,M1,,,
ENSMFAG00000037573,ENSMFAG00000037573,protein_coding,turquoise,M1,,,
ENSMFAG00000037695,ME3,protein_coding,turquoise,M1,,,
ENSMFAG00000037702,AKR1C8P,protein_coding,turquoise,M1,,,
ENSMFAG00000037713,MTA3,protein_coding,turquoise,M1,,,
ENSMFAG00000037765,GNG2,protein_coding,turquoise,M1,,,
ENSMFAG00000037783,ZIC2,protein_coding,magenta,M1,,,
ENSMFAG00000037859,MPZL2,protein_coding,magenta,M1,,,
ENSMFAG00000038027,CPNE7,protein_coding,turquoise,M1,,,
ENSMFAG00000038079,SHISA9,protein_coding,turquoise,M1,,"ExcN,IhnN,AST",
ENSMFAG00000038240,SLC7A4,protein_coding,turquoise,M1,,,
ENSMFAG00000038286,TNR,protein_coding,turquoise,M1,,OPC,
ENSMFAG00000038313,RTBDN,protein_coding,turquoise,M1,,,
ENSMFAG00000038321,SLC30A10,protein_coding,turquoise,M1,,,
ENSMFAG00000038449,ADAMTS8,protein_coding,turquoise,M1,,,
ENSMFAG00000038579,PKIA,protein_coding,turquoise,M1,,,
ENSMFAG00000038601,PCOLCE,protein_coding,magenta,M1,,,
ENSMFAG00000038610,TSPAN33,protein_coding,turquoise,M1,,,
ENSMFAG00000038655,SFRP2,protein_coding,magenta,M1,,,
ENSMFAG00000038737,RGS14,protein_coding,turquoise,M1,,,
ENSMFAG00000038743,SEZ6,protein_coding,turquoise,M1,,,
ENSMFAG00000038782,DGKK,protein_coding,turquoise,M1,,,
ENSMFAG00000038837,ASB1,protein_coding,turquoise,M1,,,
ENSMFAG00000039045,ZCCHC17,protein_coding,turquoise,M1,,,
ENSMFAG00000039087,NUDT11,protein_coding,turquoise,M1,,,
ENSMFAG00000039101,PNMA6F,protein_coding,turquoise,M1,,,
ENSMFAG00000039113,FXYD6,protein_coding,turquoise,M1,,OPC,
ENSMFAG00000039157,GRIK5,protein_coding,turquoise,M1,,,Glutamate
ENSMFAG00000039217,SLC29A4,protein_coding,turquoise,M1,,,
ENSMFAG00000039306,ENSMFAG00000039306,protein_coding,turquoise,M1,,,
ENSMFAG00000039471,FMO3,protein_coding,magenta,M1,,,
ENSMFAG00000039517,NALCN,protein_coding,turquoise,M1,,,
ENSMFAG00000039543,CPAMD8,protein_coding,magenta,M1,,,
ENSMFAG00000039642,FAM102B,protein_coding,turquoise,M1,,,
ENSMFAG00000039688,TBX18,protein_coding,magenta,M1,,,
ENSMFAG00000039714,MAN1A1,protein_coding,turquoise,M1,,"ExcN,IhnN,Micro",
ENSMFAG00000039741,PACRG,protein_coding,turquoise,M1,,"IhnN,AST",
ENSMFAG00000039907,KIF21B,protein_coding,turquoise,M1,,,
ENSMFAG00000040120,MAPK15,protein_coding,turquoise,M1,,,
ENSMFAG00000040148,CADM1,protein_coding,turquoise,M1,,"Oligo,AST,OPC",
ENSMFAG00000040182,CELF3,protein_coding,turquoise,M1,,,
ENSMFAG00000040208,PRRG3,protein_coding,turquoise,M1,,,
ENSMFAG00000040245,SERTM1,protein_coding,turquoise,M1,,,
ENSMFAG00000040311,TMEM130,protein_coding,turquoise,M1,,,
ENSMFAG00000040583,ZNF831,protein_coding,turquoise,M1,,,
ENSMFAG00000040621,ZDHHC23,protein_coding,turquoise,M1,,,
ENSMFAG00000040631,FARP1,protein_coding,turquoise,M1,,"IhnN,AST",
ENSMFAG00000040654,FOXC2,protein_coding,magenta,M1,,,
ENSMFAG00000040754,CHST11,protein_coding,turquoise,M1,,"IhnN,Micro,AST,OPC",
ENSMFAG00000040762,FADS3,protein_coding,turquoise,M1,,,
ENSMFAG00000040769,ITGBL1,protein_coding,magenta,M1,,,
ENSMFAG00000040986,MFAP4,protein_coding,magenta,M1,,,
ENSMFAG00000040990,MAOB,protein_coding,turquoise,M1,,AST,"dopamine,Norepinephrine,Epinephrine,Serotonin"
ENSMFAG00000041130,KCTD13,protein_coding,turquoise,M1,,,
ENSMFAG00000041143,GABRQ,protein_coding,turquoise,M1,,,GABA
ENSMFAG00000041236,DYRK3,protein_coding,turquoise,M1,,,
ENSMFAG00000041252,KIAA0319,protein_coding,turquoise,M1,,,
ENSMFAG00000041402,SNCA,protein_coding,turquoise,M1,,,
ENSMFAG00000041410,SHISAL1,protein_coding,turquoise,M1,,,
ENSMFAG00000041539,SLC26A4,protein_coding,turquoise,M1,,IhnN,
ENSMFAG00000041541,RNF150,protein_coding,turquoise,M1,,,
ENSMFAG00000041607,HSF2BP,protein_coding,turquoise,M1,,,
ENSMFAG00000041674,DNAH3,protein_coding,turquoise,M1,,,
ENSMFAG00000041678,MYOC,protein_coding,magenta,M1,,,
ENSMFAG00000041995,ENSMFAG00000041995,protein_coding,turquoise,M1,,,
ENSMFAG00000041997,SYN2,protein_coding,turquoise,M1,,IhnN,
ENSMFAG00000042216,FRMD3,protein_coding,turquoise,M1,,IhnN,
ENSMFAG00000042236,ANKS4B,protein_coding,turquoise,M1,,,
ENSMFAG00000042263,VSTM2B,protein_coding,turquoise,M1,,,
ENSMFAG00000042339,ENSMFAG00000042339,protein_coding,turquoise,M1,,,
ENSMFAG00000042546,RBP4,protein_coding,turquoise,M1,,,
ENSMFAG00000042588,OMD,protein_coding,magenta,M1,,,
ENSMFAG00000042592,OGN,protein_coding,magenta,M1,,,
ENSMFAG00000042638,PIWIL1,protein_coding,turquoise,M1,,,
ENSMFAG00000042990,BSDC1,protein_coding,turquoise,M1,,,
ENSMFAG00000043048,COL6A3,protein_coding,magenta,M1,,,
ENSMFAG00000043164,MYO16,protein_coding,turquoise,M1,,"ExcN,IhnN,OPC",
ENSMFAG00000043184,KIAA2012,protein_coding,turquoise,M1,,,
ENSMFAG00000043201,KDR,protein_coding,magenta,M1,,,
ENSMFAG00000043274,NTN3,protein_coding,turquoise,M1,,,
ENSMFAG00000043344,RAE1,protein_coding,turquoise,M1,,,
ENSMFAG00000043353,GRIA1,protein_coding,turquoise,M1,,"ExcN,IhnN",Glutamate
ENSMFAG00000043368,AK5,protein_coding,turquoise,M1,,,
ENSMFAG00000043434,ADAMTS3,protein_coding,turquoise,M1,,,
ENSMFAG00000043502,WNT6,protein_coding,magenta,M1,,,
ENSMFAG00000043588,NCAN,protein_coding,turquoise,M1,,,
ENSMFAG00000043632,ZMYM3,protein_coding,turquoise,M1,,,
ENSMFAG00000043696,HMGCS2,protein_coding,turquoise,M1,,,
ENSMFAG00000043768,DRC1,protein_coding,turquoise,M1,,,
ENSMFAG00000043849,PGRMC1,protein_coding,turquoise,M1,,,
ENSMFAG00000043879,BAG2,protein_coding,turquoise,M1,,,
ENSMFAG00000043929,NUDT10,protein_coding,turquoise,M1,,,
ENSMFAG00000043970,ARHGEF28,protein_coding,turquoise,M1,,OPC,
ENSMFAG00000044046,CREM,protein_coding,turquoise,M1,,,
ENSMFAG00000044081,ANKRD63,protein_coding,turquoise,M1,,,
ENSMFAG00000044404,CERS4,protein_coding,turquoise,M1,,,
ENSMFAG00000044500,KCNK13,protein_coding,turquoise,M1,,Micro,
ENSMFAG00000044564,XXYLT1,protein_coding,turquoise,M1,,,
ENSMFAG00000044579,C2CD4C,protein_coding,turquoise,M1,,,
ENSMFAG00000044581,TMEM132A,protein_coding,turquoise,M1,,,
ENSMFAG00000044613,IGF2,protein_coding,magenta,M1,,,
ENSMFAG00000044681,HES5,protein_coding,turquoise,M1,,,
ENSMFAG00000044788,KLHDC8B,protein_coding,turquoise,M1,,,
ENSMFAG00000044847,GRIN3A,protein_coding,turquoise,M1,,IhnN,Glutamate
ENSMFAG00000044880,VIT,protein_coding,turquoise,M1,,,
ENSMFAG00000045033,SLIT1,protein_coding,turquoise,M1,,IhnN,
ENSMFAG00000045135,NXNL2,protein_coding,turquoise,M1,,,
ENSMFAG00000045189,CPNE6,protein_coding,turquoise,M1,,,
ENSMFAG00000045205,DPYSL3,protein_coding,turquoise,M1,,,
ENSMFAG00000045262,LANCL2,protein_coding,turquoise,M1,,,
ENSMFAG00000045512,COL1A2,protein_coding,magenta,M1,,,
ENSMFAG00000045552,AMZ1,protein_coding,turquoise,M1,,,
ENSMFAG00000045560,PEG10,protein_coding,turquoise,M1,,,
ENSMFAG00000045596,ENSMFAG00000045596,protein_coding,turquoise,M1,,,
ENSMFAG00000045662,AP3M2,protein_coding,turquoise,M1,,,
ENSMFAG00000045695,PLA2G12A,protein_coding,turquoise,M1,,,
ENSMFAG00000045932,MMD2,protein_coding,turquoise,M1,,AST,
ENSMFAG00000046070,DUSP9,protein_coding,turquoise,M1,,,
ENSMFAG00000046239,KLF8,protein_coding,turquoise,M1,,,
ENSMFAG00000046259,PIK3AP1,protein_coding,turquoise,M1,,Micro,
ENSMFAG00000046625,ENSMFAG00000046625,lincRNA,turquoise,M1,,,
ENSMFAG00000046992,ENSMFAG00000046992,lincRNA,turquoise,M1,,,
ENSMFAG00000046930,ENSMFAG00000046930,lincRNA,turquoise,M1,,,
ENSMFAG00000000038,EEA1,protein_coding,brown,M2,,,
ENSMFAG00000000042,KRR1,protein_coding,brown,M2,,,
ENSMFAG00000000066,GPBP1,protein_coding,brown,M2,,,
ENSMFAG00000000078,USP15,protein_coding,brown,M2,,,
ENSMFAG00000000165,CEP120,protein_coding,brown,M2,,,
ENSMFAG00000000174,SOS2,protein_coding,brown,M2,,,
ENSMFAG00000000238,ARMC2,protein_coding,brown,M2,,,
ENSMFAG00000000350,ARHGAP5,protein_coding,brown,M2,,AST,
ENSMFAG00000000414,NKTR,protein_coding,brown,M2,,,
ENSMFAG00000000418,ZMYND11,protein_coding,brown,M2,,,
ENSMFAG00000000426,CHUK,protein_coding,brown,M2,,,
ENSMFAG00000000453,ZNF800,protein_coding,brown,M2,,,
ENSMFAG00000000482,ZNF347,protein_coding,brown,M2,,,
ENSMFAG00000000541,TOPORS,protein_coding,brown,M2,,,
ENSMFAG00000000590,CWC22,protein_coding,brown,M2,,,
ENSMFAG00000000640,DDX52,protein_coding,brown,M2,,,
ENSMFAG00000000680,MITD1,protein_coding,brown,M2,,,
ENSMFAG00000000709,ENSMFAG00000000709,protein_coding,brown,M2,,Oligo,
ENSMFAG00000000790,PRPF39,protein_coding,brown,M2,,,
ENSMFAG00000000822,RAB11FIP2,protein_coding,brown,M2,,,
ENSMFAG00000000847,HOOK1,protein_coding,brown,M2,,,
ENSMFAG00000000885,ZFP37,protein_coding,brown,M2,,,
ENSMFAG00000000901,MNAT1,protein_coding,brown,M2,,,
ENSMFAG00000000931,GCC2,protein_coding,brown,M2,,,
ENSMFAG00000001086,ZUP1,protein_coding,brown,M2,,,
ENSMFAG00000001299,RLF,protein_coding,brown,M2,,,
ENSMFAG00000001327,IFT81,protein_coding,brown,M2,,,
ENSMFAG00000001373,PNISR,protein_coding,brown,M2,,,
ENSMFAG00000001457,NAP1L1,protein_coding,brown,M2,,,
ENSMFAG00000001525,ZNF790,protein_coding,brown,M2,,,
ENSMFAG00000001601,SETD2,protein_coding,brown,M2,,,
ENSMFAG00000001643,ENSMFAG00000001643,protein_coding,brown,M2,,,
ENSMFAG00000001782,WDR36,protein_coding,brown,M2,,,
ENSMFAG00000001792,PAPOLA,protein_coding,brown,M2,,,
ENSMFAG00000001957,DMTF1,protein_coding,brown,M2,,,
ENSMFAG00000002013,FAM135A,protein_coding,brown,M2,,,
ENSMFAG00000002101,INTS6,protein_coding,brown,M2,,,
ENSMFAG00000002108,TASOR,protein_coding,brown,M2,,,
ENSMFAG00000002227,POLR3F,protein_coding,brown,M2,,,
ENSMFAG00000002275,HNRNPDL,protein_coding,brown,M2,,,
ENSMFAG00000002285,CEP170,protein_coding,brown,M2,,Oligo,
ENSMFAG00000002304,GKAP1,protein_coding,brown,M2,,,
ENSMFAG00000002680,ZNF33A,protein_coding,brown,M2,,,
ENSMFAG00000002686,KIN,protein_coding,brown,M2,,,
ENSMFAG00000002740,SP4,protein_coding,brown,M2,,,
ENSMFAG00000002751,EPC2,protein_coding,brown,M2,,,
ENSMFAG00000002815,ENSMFAG00000002815,protein_coding,brown,M2,,,
ENSMFAG00000002817,UBXN4,protein_coding,brown,M2,,,
ENSMFAG00000002885,PAXBP1,protein_coding,brown,M2,,,
ENSMFAG00000002973,ENSMFAG00000002973,protein_coding,tan,M2,,,
ENSMFAG00000002987,DICER1,protein_coding,brown,M2,,Oligo,
ENSMFAG00000003098,SMC3,protein_coding,brown,M2,,,
ENSMFAG00000003123,ENSMFAG00000003123,protein_coding,tan,M2,,,
ENSMFAG00000003164,NVL,protein_coding,brown,M2,,,
ENSMFAG00000003222,SENP7,protein_coding,brown,M2,,,
ENSMFAG00000003230,BCLAF3,protein_coding,brown,M2,,,
ENSMFAG00000003309,COPS2,protein_coding,brown,M2,,,
ENSMFAG00000003326,ZRANB2,protein_coding,brown,M2,,,
ENSMFAG00000003382,ENSMFAG00000003382,protein_coding,brown,M2,,,
ENSMFAG00000003430,SMC4,protein_coding,brown,M2,,,
ENSMFAG00000003564,ROCK1,protein_coding,brown,M2,,,
ENSMFAG00000003592,EVI5,protein_coding,brown,M2,,,
ENSMFAG00000003712,PNN,protein_coding,brown,M2,,,
ENSMFAG00000003714,ZNF782,protein_coding,brown,M2,,,
ENSMFAG00000003740,DHX29,protein_coding,brown,M2,,,
ENSMFAG00000003768,CEP57,protein_coding,brown,M2,,,
ENSMFAG00000003997,ENSMFAG00000003997,protein_coding,brown,M2,,,
ENSMFAG00000004060,ZC3H13,protein_coding,brown,M2,,,
ENSMFAG00000004660,ASH1L,protein_coding,brown,M2,,,
ENSMFAG00000005357,NEMF,protein_coding,brown,M2,,,
ENSMFAG00000006057,LSM14A,protein_coding,brown,M2,,,
ENSMFAG00000008200,RUFY2,protein_coding,brown,M2,,,
ENSMFAG00000008721,CCNH,protein_coding,brown,M2,,IhnN,
ENSMFAG00000009739,ZNF260,protein_coding,brown,M2,,,
ENSMFAG00000011842,TUT4,protein_coding,brown,M2,,ExcN,
ENSMFAG00000012154,ZNF510,protein_coding,brown,M2,,,
ENSMFAG00000017081,ODF2L,protein_coding,brown,M2,,,
ENSMFAG00000018980,PRPF4B,protein_coding,brown,M2,,,
ENSMFAG00000019827,CSGALNACT2,protein_coding,brown,M2,,,
ENSMFAG00000020976,ZNF518A,protein_coding,brown,M2,,,
ENSMFAG00000023007,ZHX1,protein_coding,brown,M2,,,
ENSMFAG00000025835,LRRCC1,protein_coding,brown,M2,,,
ENSMFAG00000026158,ZFP90,protein_coding,brown,M2,,,
ENSMFAG00000026820,SPDL1,protein_coding,brown,M2,,,
ENSMFAG00000027257,CWC27,protein_coding,brown,M2,,,
ENSMFAG00000028102,AKAP9,protein_coding,brown,M2,,,
ENSMFAG00000028791,POLR3G,protein_coding,brown,M2,,Oligo,
ENSMFAG00000029125,ZNF501,protein_coding,brown,M2,,,
ENSMFAG00000029225,FAM200B,protein_coding,brown,M2,,,
ENSMFAG00000029386,GUF1,protein_coding,brown,M2,,,
ENSMFAG00000029443,MTERF2,protein_coding,brown,M2,,,
ENSMFAG00000030090,PKN2,protein_coding,brown,M2,,,
ENSMFAG00000030557,RASA2,protein_coding,brown,M2,,,
ENSMFAG00000030579,PCM1,protein_coding,brown,M2,,,
ENSMFAG00000030601,DENND4A,protein_coding,brown,M2,,,
ENSMFAG00000030658,STAG2,protein_coding,brown,M2,,,
ENSMFAG00000030778,ARFGEF1,protein_coding,brown,M2,,,
ENSMFAG00000030851,KMT5B,protein_coding,brown,M2,,,
ENSMFAG00000031006,ZNF624,protein_coding,brown,M2,,,
ENSMFAG00000031054,ZNF507,protein_coding,brown,M2,,,
ENSMFAG00000031156,ZNF107,protein_coding,brown,M2,,,
ENSMFAG00000031263,SRFBP1,protein_coding,brown,M2,,,
ENSMFAG00000031270,NIFK,protein_coding,brown,M2,,,
ENSMFAG00000031325,CCPG1,protein_coding,brown,M2,,,
ENSMFAG00000031492,CEP162,protein_coding,brown,M2,,,
